id,genre
135397,Action
76341,Action
262500,Adventure
140607,Action
168259,Action
281957,Western
87101,Science Fiction
286217,Drama
211672,Family
150540,Comedy
206647,Action
76757,Science Fiction
264660,Drama
257344,Action
99861,Action
273248,Crime
260346,Crime
102899,Science Fiction
150689,Romance
131634,War
158852,Action
307081,Action
254128,Action
216015,Drama
318846,Comedy
177677,Action
214756,Comedy
207703,Crime
314365,Drama
294254,Action
280996,Mystery
198184,Crime
254470,Comedy
296098,Thriller
257445,Adventure
264644,Drama
339527,Crime
105864,Adventure
241554,Action
167073,Drama
277216,Drama
274854,Fantasy
321697,History
203801,Comedy
293863,Fantasy
325348,Action
228161,Fantasy
286565,Drama
265208,Thriller
254320,Thriller
258480,Romance
257211,Comedy
253412,Adventure
274479,Comedy
257088,Action
295964,Drama
238615,Science Fiction
210860,Comedy
306819,Drama
201088,Mystery
273481,Action
166424,Action
310131,Mystery
238713,Action
256591,Romance
249070,Action
205775,Thriller
334074,Crime
312221,Drama
271718,Comedy
333352,Drama
276907,Crime
284289,Thriller
266647,Adventure
347096,Action
308369,Comedy
227973,Adventure
321741,Drama
296100,Comedy
263472,Drama
228205,Romance
159824,Animation
333348,Family
285783,Adventure
290764,Action
296099,Adventure
243688,Horror
287424,Horror
301875,Drama
181283,Crime
328425,Thriller
274167,Comedy
370687,Fantasy
307663,Thriller
309809,Adventure
258509,Adventure
298382,Drama
272693,Romance
283445,Horror
256961,Action
326359,Adventure
254302,Action
241251,Thriller
292040,Thriller
188222,Comedy
252838,Comedy
273477,Comedy
298312,Horror
261023,Crime
336004,Crime
287903,Horror
182560,Drama
192141,Action
308639,Crime
261392,Comedy
304357,Drama
297291,Action
266294,Comedy
227719,Science Fiction
86828,Comedy
287948,Thriller
201085,Mystery
277355,Thriller
264999,Comedy
146301,Horror
223485,Romance
294016,Drama
290751,Crime
309245,Comedy
228165,Family
245706,Crime
272878,Adventure
263109,Family
157827,Drama
321751,Comedy
266396,Action
277685,Horror
268920,Action
280092,Drama
193687,Drama
300803,Action
328589,Comedy
228066,Drama
378373,Adventure
291270,Animation
294963,Horror
241257,Horror
245698,Drama
353326,Drama
346808,Thriller
250124,Drama
290637,Horror
244458,Horror
308504,Action
314405,Romance
282984,Mystery
157843,Drama
275601,Comedy
290762,Comedy
251516,Action
304372,Drama
324807,Crime
252512,Drama
257091,Comedy
228968,Drama
347969,Comedy
237756,Comedy
293646,History
245168,Drama
311291,Drama
301351,Drama
248574,Adventure
225728,History
326425,Action
342474,Comedy
277217,Music
207936,Music
250734,Romance
249688,Drama
268238,Drama
256962,Comedy
322456,Action
302528,Drama
222936,Adventure
316002,Romance
365806,Action
10317,Drama
334538,Drama
306947,Thriller
328901,Drama
382517,Animation
310133,Thriller
237584,Thriller
288036,Comedy
354110,Western
331781,Documentary
253161,Drama
312831,Fantasy
316322,Family
301846,Horror
306745,Romance
332340,Romance
292431,Drama
300693,Drama
333381,Thriller
256924,Comedy
253414,Comedy
254172,Drama
320588,Comedy
157544,Thriller
283235,Drama
243938,Comedy
86835,Romance
254905,Drama
309242,Drama
332502,Mystery
286192,Animation
284674,Thriller
360055,Action
352179,Drama
246127,Drama
338676,Drama
330982,Mystery
232572,Drama
